Num Clusters,Silhouette Score
2,0.02642379719601837
3,0.022310342177076156
4,0.02256397853845108
5,0.022697424464099294
6,0.017843190981898783
7,0.015099733390257549
8,0.01707520897085879
9,0.01948799372652148
10,0.01787325393324277
11,0.019199376042278782
12,0.020153309777048826
13,0.021134050801274604
14,0.022492190745027018
15,0.02223592482475995
16,0.01896413444096919
17,0.014246073108800085
18,0.015427103869887484
19,0.015037577590483513
20,0.007952193320563418
21,0.0055925036613112405
22,0.007911489048700702
23,0.010642149592746324
24,0.010780166053326273
25,0.013038307775879021
26,0.012393718558928894
27,0.010082133699055869
28,0.008016199866281102
29,0.007592335924758001
30,0.006570430098144387
