fiscalDateEnding,Ticker,net_income_minus_taxes_over_net_income,pretax_non_operating_over_sales,sales_over_assets,income_to_equity,earnings_over_price,relative_price_evolution,net_income_to_common_over_net_income_smoothed,liabilities_over_equity,inventory_over_current_liabilities,working_capital_over_sales,dividend_per_share
2021-03-01,LECO,0.6896612157407283,-0.0089495535790949,0.32053406183298905,0.09231563816481335,0.2001225102540832,0.04089408178816356,0.0,1.9394049893281395,0.6768549997477464,0.7685731307321726,15.012520937328977
2021-04-01,LECO,0.7334356232793092,0.02232416267741108,0.3308716997196159,0.1295569307665113,0.28058000909647746,0.08415883498433674,0.0,1.9030083745651445,0.6816042301081277,0.7477948637377987,24.570318971910798
2021-05-01,LECO,0.7519929795273056,0.019253132172142137,0.3325388941043537,0.1314402380983275,0.2894783887502755,0.0886461772923548,0.0,1.902294591774219,0.6841582569936216,0.7285257314217884,30.17097182611336
2021-06-01,LECO,0.7805870827173488,-0.004792765235572699,0.3289073301267229,0.11179354748652091,0.24256074976316472,0.11514689696046077,0.0,1.9229618514188667,0.6862978075342663,0.690907046378569,33.23316268865102
2021-07-01,LECO,0.7699865758647256,-0.03829397354617509,0.3229822649583362,0.08282953906371787,0.17000787817548008,0.18050969435272202,0.0,1.9522084145673633,0.6892537400583056,0.658120229195955,34.574998741352275
2021-08-01,LECO,0.7453330350593514,-0.07298526964005857,0.317050108237757,0.053681425482291094,0.10986742786958792,0.18203369740072817,0.0,1.9803451400488727,0.6945428198621537,0.6317310999620779,35.35229310866139
2021-09-01,LECO,0.7503003385063929,-0.09567191681112625,0.31394228504626875,0.037013122484682276,0.08211795966801119,0.09042418084836168,0.0,1.9940768747530575,0.7035402860132542,0.615913847939458,36.59678627924403
2021-10-01,LECO,0.8383468657775804,-0.09692725487266321,0.3153876544039566,0.04101185689226134,0.08266574933830229,0.2056557446448226,0.0,1.9877597643199858,0.7156066054383304,0.6135060969780475,38.69412363519138
2021-11-01,LECO,0.964588899806147,-0.08124665570335657,0.3201184311916453,0.060587193293511137,0.12966832933463096,0.14266361866057076,0.0,1.9811657040073238,0.7229347170419821,0.6217976584292005,39.691496374325865
2021-12-01,LECO,1.0471976316764355,-0.05777902543201015,0.32567554691631817,0.08613219272724748,0.17896327560546788,0.18084836169672336,0.0,2.0002245105323215,0.71426832736918,0.6297571379826938,36.869057799688115
2022-01-01,LECO,1.015637432498896,-0.03276528948341392,0.330578091107599,0.11202094643998194,0.2534532878280761,0.08238083142832964,0.0,2.061403714729428,0.6863780848532811,0.6230362906479051,28.659381269745058
2022-02-01,LECO,0.9174250439626247,-0.012472669076456317,0.3346834218618625,0.13349115678349138,0.30270991720180546,0.07916349166031655,0.0,2.1334390901485887,0.6583578692355729,0.5986347568896143,19.292417015034932
2022-03-01,LECO,0.8158043433673781,-0.0016899923064288864,0.3382060150331976,0.1460171146934718,0.3085841514686054,0.1667936669206671,0.0,2.17036836214747,0.6465581920806509,0.5680783212554962,14.539748953974895
2022-04-01,LECO,0.7493015410639693,0.0002754159615657232,0.34245078711526905,0.15003854144015472,0.3314823494685222,0.14071628143256287,0.0,2.150816632931966,0.6551100346736853,0.548699125527213,16.96896841947129
2022-05-01,LECO,0.7258817454403582,-0.0034905599094171174,0.3473167273744019,0.14679960399358827,0.33003109788061735,0.14994496655659972,0.0,2.087913384079205,0.6780095612659699,0.5482252580701106,24.506362882935946
2022-06-01,LECO,0.7310221244896361,-0.007831153199964108,0.35363060865201235,0.13999393249739064,0.3531143211806955,0.044450088900177764,0.0,2.0029658478458723,0.7075412506376683,0.5611111018814181,33.468852235550706
2022-07-01,LECO,0.7438307898011862,-0.008709454178854385,0.360514817983881,0.13279136897824398,0.2933465577951605,0.19752772838879018,0.0,1.922171173103438,0.7336022645898358,0.5754538134300066,39.88621896538517
2022-08-01,LECO,0.7500266372374939,-0.00705917447646922,0.3627874906936189,0.1252994418825522,0.2864412171683712,0.1573109812886293,0.0,1.866212267818503,0.7555216158858482,0.586026211145683,43.59231681061942
2022-09-01,LECO,0.7475329863269596,-0.0049420469612078185,0.35265925455275615,0.11816807833659158,0.2968922313356215,0.06443146219625762,0.0,1.8691999190755573,0.7708818911459806,0.5979456487498199,44.52140928817961
2022-10-01,LECO,0.7445820095619814,-0.004184322360201569,0.32948541783769175,0.11231394649881839,0.2574535367040174,0.2022690712048092,0.0,1.9402287824167284,0.7783530403983873,0.6229222779605917,43.155440331595415
2022-11-01,LECO,0.7465098774463881,-0.004766701775371674,0.3052291127597476,0.10794248401759265,0.2479350236820108,0.25205317077300826,0.0,2.0301784467420663,0.7804676510753594,0.6646337049774154,40.57232872645556
2022-12-01,LECO,0.7514865714385257,-0.006155108740254411,0.2926962854805433,0.10554276983773957,0.25843340328050857,0.22335111336889346,0.0,2.0756425629025084,0.7802243412745032,0.7120666120050497,38.25005559451924
2023-01-01,LECO,0.7523451037986667,-0.007781839782001236,0.2958825699878058,0.10493830365744229,0.23012024236528272,0.4128354923376514,0.0,2.046324483779845,0.7807555730205634,0.7464970884730434,37.293259919856204
