ticker,return
LECO,-0.10738060781476115
TEN,0.01585503963759916
SCL,0.01705970898143491
PAYX,-0.16743437888425827
URBN,-0.24879227053140096
SEIC,-0.11092824226464772
MA,-0.12176382161349593
AMH,-0.1181886041303807
MG,-0.10136157337367624
DD,-0.2501349163518619
CHE,-0.074254496686652
IT,-0.19225759043388216
PFG,-0.09998652472712556
PDLB,-0.11663479923518169
NBHC,-0.060628375061364724
CYCN,-0.5143362831858407
LEGH,-0.37857142857142856
SITM,-0.3436267010226266
VLY,-0.21315192743764175
ISTR,0.1465968586387433
KRMD,-0.11846689895470393
VRTX,0.07738482125788572
TFSL,-0.17931858936043035
TMHC,-0.14868804664723037
HON,-0.1127616130678918
UE,-0.20408163265306115
HALO,0.1
EPAC,-0.13545454545454547
OMF,-0.21897200167154193
WABC,-0.07954357532660827
CPS,-0.44120940649496077
SKT,-0.17945758799769174
OPK,-0.26453488372093026
HCSG,-0.06347498655190961
EXPE,-0.5184827866355235
NWL,-0.11441860465116283
MFA,1.674129353233831
CRNC,-0.3045755237045204
ADUS,-0.10393802453195607
EPM,-0.18140929535232383
BDC,-0.047218744410659874
PRTA,-0.26062091503267976
GPC,0.04551528967848445
TPC,-0.19152854511970535
OLP,-0.15949530896150113
EBC,-0.1543747136967475
VHC,-0.2822085889570552
MSEX,-0.16574690770694567
AWK,-0.10233512339347119
HXL,-0.12422568223673187
NEE,-0.08320511303112796
PB,-0.02749287749287759
IRT,-0.2165532879818594
JOE,-0.33028610123582186
FFIC,-0.06426056338028158
LBRDA,-0.13366903181506062
DFIN,-0.1256716417910448
GTLS,-0.03499567598731619
NNBR,-0.12152777777777782
CSGP,-0.09430284857571224
BUSE,-0.11020249221183794
CFFN,-0.16164383561643833
OPBK,-0.2458662832494608
CMP,-0.43852133904489926
T,-0.11635750421585152
GHC,-0.07288191036964335
RYN,-0.09557222356641655
GLDD,-0.07087172218284904
TNET,-0.21197969543147205
ORGO,-0.35958005249343833
GOSS,-0.03682393555811281
