Ticker
LECO
TEN
SCL
PAYX
URBN
SEIC
MA
AMH
MG
DD
CHE
IT
PFG
LMNX
PDLB
NBHC
CYCN
LEGH
SITM
VLY
ISTR
KRMD
VRTX
TFSL
TMHC
HON
UE
HALO
EPAC
OMF
WABC
CPS
SKT
OPK
HCSG
EXPE
NWL
MFA
CRNC
ADUS
EPM
BDC
PRTA
GPC
TPC
OLP
EBC
VHC
MSEX
AWK
HXL
NEE
PB
IRT
JOE
FFIC
LBRDA
DFIN
GTLS
NNBR
CSGP
BUSE
CFFN
OPBK
CMP
T
GHC
RYN
GLDD
TNET
ORGO
GOSS
CCI
APAM
PRLD
CCB
ERII
UAL
OPRT
O
LNSR
TARA
BDN
AROW
WSC
ARAY
RJF
AXTI
VRNT
UNIT
EARN
WEYS
UNP
MLP
DHT
TRV
HAL
COP
BHB
BANC
GDDY
WWW
BV
EQBK
NPO
PRA
SYRS
AGYS
RS
NOV
VAC
PEBK
RYI
TIPT
COLM
CNO
BLK
UI
OKTA
PLT
CABO
AVO
ASPU
HCKT
ACN
CALA
WPC
TECH
VREX
SANM
PCG
ISRG
RBC
VFC
AGNC
TXT
BCML
GWW
SNCR
MU
PGNY
TGNA
HIW
REVG
ARR
FLO
HFFG
SHO
FNB
SWBI
DGII
FBK
VTOL
CMCT
ECL
SMCI
ORA
STRA
ACA
PLAB
ORIC
TMDX
SRCL
DLR
JRVR
CTRE
OVLY
TEAM
GNW
DX
MTH
AMD
IDYA
IMVT
EXPO
RGA
IRDM
FNWB
AFG
JNJ
DVA
GPK
NVR
FNKO
MXL
XPER
XRAY
SSNC
WAB
ANET
HAS
WRAP
INSM
PEB
ULBI
BWA
EL
ANIP
BTU
NRC
TDY
KROS
DBI
GE
ACHC
ATO
WGO
CL
LMT
PCB
CFR
YUM
OZK
KLAC
AEE
GOOGL
