timestamp,ticker,signal,return,success
2022-04-01,LECO,SELL,0.0054992764109984,1
2022-04-04,LECO,SELL,0.0121507566938299,1
2022-04-05,LECO,BUY,-0.0259124898200932,0
2022-04-06,LECO,BUY,0.0003816211265454,1
2022-04-07,LECO,BUY,0.0001533036946189,1
2022-04-08,LECO,BUY,-0.0065014532660243,0
2022-04-11,LECO,BUY,-0.0176765727518333,0
2022-04-12,LECO,BUY,0.00212080747781,1
2022-04-13,LECO,BUY,0.0167988068137216,1
2022-04-14,LECO,BUY,0.0037212186991238,1
2022-04-18,LECO,BUY,0.0027904813580343,1
2022-04-19,LECO,SELL,-0.0254407670893908,0
2022-04-20,LECO,HOLD,0.0,0
2022-04-21,LECO,BUY,-0.0112860112860113,0
2022-04-22,LECO,BUY,-0.0166339029184937,0
2022-04-25,LECO,SELL,-0.0015416634548679,0
2022-04-26,LECO,SELL,0.0145951401288719,1
2022-04-27,LECO,SELL,-0.0075359133369965,0
2022-04-28,LECO,BUY,-0.0022767332549941,0
2022-04-29,LECO,BUY,-0.0015562472209871,0
2022-05-02,LECO,BUY,-0.0158964879852126,0
2022-05-03,LECO,BUY,0.0152459631993991,1
2022-05-04,LECO,SELL,-0.030995709424471,0
2022-05-05,LECO,SELL,0.0239430543572045,1
2022-05-06,LECO,SELL,-0.006655820144949,0
2022-05-09,LECO,SELL,-0.0075187969924812,0
2022-05-10,LECO,SELL,0.0306535569693463,1
2022-05-11,LECO,SELL,-0.0008223684210527,0
2022-05-12,LECO,SELL,0.0075255197079205,1
2022-05-13,LECO,BUY,-0.0041106128550075,0
2022-05-16,LECO,SELL,-0.0051825146462372,0
2022-05-17,LECO,SELL,-0.0023640661938533,0
2022-05-18,LECO,SELL,0.022200843632058,1
2022-05-19,LECO,SELL,-0.0060947737315253,0
2022-05-20,LECO,BUY,-0.0166202902910431,0
2022-05-23,LECO,SELL,0.0088757396449703,1
2022-05-24,LECO,BUY,0.0029332304129679,1
2022-05-25,LECO,SELL,-0.0114604305404988,0
2022-05-26,LECO,BUY,0.0176937156802928,1
2022-05-27,LECO,SELL,-0.0144808539225199,0
2022-05-31,LECO,SELL,-0.0049574546799851,0
2022-06-01,LECO,SELL,0.0051297083394402,1
2022-06-02,LECO,SELL,-0.0142742112583265,0
2022-06-03,LECO,BUY,-0.0029701535786728,0
2022-06-06,LECO,SELL,-0.0076689335841412,0
2022-06-07,LECO,SELL,-0.014898387213423,0
2022-06-08,LECO,SELL,0.0100851155139117,1
2022-06-09,LECO,SELL,0.0010813928339701,1
2022-06-10,LECO,SELL,0.0139122794171487,1
2022-06-13,LECO,SELL,0.0195752399667447,1
2022-06-14,LECO,BUY,-0.0138867458725506,0
2022-06-15,LECO,SELL,0.0079247921684407,1
2022-06-16,LECO,SELL,0.0147783251231527,1
2022-06-17,LECO,BUY,-0.0204212380876112,0
2022-06-21,LECO,HOLD,0.0,0
2022-06-22,LECO,BUY,0.0140327975850535,1
2022-06-23,LECO,BUY,-0.0160795087265676,0
2022-06-24,LECO,BUY,0.0224353763615672,1
2022-06-27,LECO,BUY,0.0095765730114761,1
2022-06-28,LECO,BUY,-0.0202257761053621,0
2022-06-29,LECO,BUY,-0.0150822302446851,0
2022-06-30,LECO,BUY,0.0123922855970455,1
2022-04-01,WABC,SELL,-0.0019844551017033,0
2022-04-04,WABC,SELL,-0.0062799537266567,0
2022-04-05,WABC,SELL,0.0087056504599211,1
2022-04-06,WABC,SELL,0.0054681027340513,1
2022-04-07,WABC,SELL,0.0112825618052098,1
2022-04-08,WABC,SELL,0.0148234510326449,1
2022-04-11,WABC,SELL,0.0015215553677091,1
2022-04-12,WABC,BUY,-0.0026990553306343,0
2022-04-13,WABC,SELL,-0.0077821011673151,0
2022-04-14,WABC,BUY,-0.0092297365329754,0
2022-04-18,WABC,BUY,0.0,0
